Zone,ClientBaseCount,RegionType
Agailjhara,449,Rural
Agardigun,653,Rural
Ajmiriganj,417,Rural
Akhaura,1942,Rural
Akkelpur,234,Rural
Alamdanga,1377,Rural
Alfadanga,832,Rural
Amadikoyra,1383,Rural
Ambalswarsrp,2,Rural
Ambariparbatipur,204,Rural
Amtali,210,Rural
Amtalisadar,184,Rural
Anuliaashasuni,292,Rural
Anwara,1,Rural
Arabpurjsr,3,Rural
Araihazar,2,Rural
Aranibagha,1,Rural
Ashuganj,1103,Rural
Asimbazarfulb,187,Rural
Ataikula,36,Rural
Ataparabgr,357,Rural
Atghoria,2,Rural
Athrogasiaamtl,27,Rural
Atpara,155,Rural
Atrai,1200,Rural
Atraisadar,310,Rural
Atraitmp,6,Rural
Atwari,532,Rural
Aushkandi,778,Rural
Babuganj,9,Rural
Babuganjsadar,10,Rural
Badalgachi,2342,Rural
Badargonj,112,Rural
Bagatipara,1,Rural
Bagha,965,Rural
Bahubal,366,Rural
Bahubalsadar,1547,Rural
Bailtalichandanaish,185,Rural
Baisaribanaripara,1267,Rural
Bajitpur,1346,Rural
Bakerganj,117,Rural
Balaganj,1212,Rural
Balaganjsadar,372,Rural
Baliadangi,828,Rural
Baliakandi,561,Rural
Bamna,2,Rural
Banaripara,942,Rural
Bancharampur,623,Rural
Bandar,345,Rural
Bandarban,129,Rural
Bandarbrsl,313,Rural
banglabazar,1,Rural
Baniachong,638,Rural
Bankrajsr,183,Rural
Barachowna,5,Rural
Baraigram,1194,Rural
Barguna,1164,Rural
Bargura,1,Rural
Barishalsadar,757,Rural
Barkalchandanaish,121,Rural
Barogaonsnm,549,Rural
Barura,428,Rural
Bashdoho_Satkhira,2,Rural
Bashdohostkh,405,Rural
Bashkhali,2,Rural
Bataichoribarura,2,Rural
Batgaonchtk,342,Rural
Batiaghata,81,Rural
Bauphal,2,Rural
Beanibazar,691,Rural
Belabo,3,Rural
Belkuchi,325,Rural
Belkuchisadar,311,Rural
Bera,145,Rural
Betbunia,302,Rural
Bhabaniganj,,Rural
Bhairab,160,Rural
Bhaluka,2,Rural
Bhandaria,669,Rural
Bhanga,202,Rural
Bhangura,434,Rural
Bhatgrambgr,1,Rural
Bhawalmirzapur,645,Rural
Bhedarganj,1180,Rural
Bheramara,689,Rural
Bholahat,943,Rural
Bholasadar,917,Rural
Bhomra,818,Rural
Bhonparaatrai,293,Rural
Bhuapur,1508,Rural
Bhujpurctg,281,Rural
Bhurungamari,283,Rural
Bijoynagar,3729,Rural
Bijoynagarsadar,541,Rural
Binnatibazarksrg,706,Rural
Birganj,374,Rural
Birganj,2,Rural
Birol,1076,Rural
Bishnupursatkhira,1518,Rural
Bishwambarpur,72,Rural
Bishwanath,2,Rural
Bitgharnabinagar,155,Rural
Boda,2300,Rural
Bogura,4,Rural
Bogura.,1,Rural
Bokshiganj,931,Rural
Bonarparagb,161,Rural
Bonpara,791,Rural
Boraikandirwm,1962,Rural
Borhanuddin,1492,Rural
Borochapamnhd,77,Rural
Brahmanbaria,2132,Rural
Brahmanpara,348,Rural
Burigoalinistk,225,Rural
Cepzctg,193,Rural
Chakaria,256,Rural
Chakborkatjph,418,Rural
Chandgaon,2,Rural
Chandpurhabig,77,Rural
Chandpurhabig,1,Rural
Chandra,2,Rural
Chapainababganj,1,Rural
Chapainawabganj,3700,Rural
charamaddibrsl,5,Rural
Charavitajsr,2,Rural
Charbhadrasan,2,Rural
Charfassion,555,Rural
Charfession,1,Rural
Charghat,1300,Rural
Charrajibpur,165,Rural
Chatarpaiya,186,Rural
Chatmohar,374,Rural
Chatmoharsadar,287,Rural
Chauddagram,399,Rural
Chayabithijydbp,2,Rural
Chhatak,1344,Rural
Chhatak,1,Rural
Chilmari,820,Rural
Chinishpur,5,Rural
Chirirbandar,112,Rural
Chittagong,2011,Urban
Chougachha,778,Rural
Choumohanisyl,200,Rural
Chowmohoni,2190,Rural
Chuadanga,2265,Rural
Chunarughat,1148,Rural
Chutipur,2,Rural
Comilla,3273,Urban
Comillaremote230,1,Rural
Companiganjnk,6,Rural
Companiganjsyl,197,Rural
Cox Bazar,233,Rural
Coxbazar,127,Rural
Coxs Bazar,,Rural
Coxsbazarsadar,36,Rural
CTG,2,Rural
Cumilla,2,Rural
Dairyfarmsavar,4,Rural
Dashmina,320,Rural
Dattaparatongi,,Rural
Daudkandi,2,Rural
Daulatpur,4528,Rural
Daulatpurmanikganj,100,Rural
Debidwar,8,Rural
Debiganj,3656,Rural
Debpara,238,Rural
Demra,116,Rural
Derai,843,Rural
Dewangonj,154,Rural
Dhaka,10881,Urban
Dhakaremote150,1,Rural
Dhakaremote251,1,Rural
Dhamoirhat,1303,Rural
Dhanbari,690,Rural
Dhankhaliptkh,140,Rural
Dharmapasha,253,Rural
Dhobaura,452,Rural
Dhulauripbn,507,Rural
Dhunot,2107,Rural
Dighalia,655,Rural
Dimla,2065,Rural
Dinajpur,1362,Rural
dohar,1,Rural
Domar,3883,Rural
Dorsona,470,Rural
Doulatkhan,8,Rural
Doulatkhansadar,1144,Rural
Dowarabazar,198,Rural
Dudhnoijhenaigati,29,Rural
Dulatpur,,Rural
Dumuria,333,Rural
Dupchanchia,2,Rural
Durgapurchnght,287,Rural
Durgapurntk,327,Rural
Durgapurraj,234,Rural
Durmutmelandah,53,Rural
Eidgaoncoxsb,89,Rural
Eidgaonsadar,1335,Rural
Ekrampurksrg,252,Rural
Enayetpurhthz,128,Rural
EPZ Moulvibazarsadar,1,Rural
Epzmoulvibazar,521,Rural
Ezjamalpur,2,Rural
Fakirhat,166,Rural
Faridpur.,2,Rural
Faridpurpbn,1144,Rural
Fatikchhari,356,Rural
Fenchuganj,709,Rural
Fulbari,1562,Rural
Fulgazi,165,Rural
Gabtali,428,Rural
Gabtalisadar,532,Rural
Gafargaon,1016,Rural
Gaitalksrj,270,Rural
Galachipa,2,Rural
Gangachara,1769,Rural
Gangni,1,Rural
Garobazarmdp,2,Rural
Gazipuratongi,55,Rural
Gazipursadar,541,Rural
Ghatail,3798,Rural
Ghoraghatdnj,226,Rural
Ghosgaondhobaura,202,Rural
Goalanda,6,Rural
Gobindaganj,699,Rural
Godagari,112,Rural
Golapganj,612,Rural
Gomostapur,2700,Rural
Gopalganj,,Rural
Gopalgonj,118,Rural
Gopalpur,434,Rural
gopalpuralfd,139,Rural
Gopalpurjmlp,390,Rural
Gopinathpurjph,4,Rural
Goshairhat,189,Rural
Gouripur,796,Rural
Goyalibazarngn,554,Rural
Guimara,320,Rural
Gurudaspur,532,Rural
Habiganj,2540,Rural
Haidergonj,250,Rural
Hajiganj,27,Rural
Haluaghat,119,Rural
Harinakundu,1146,Rural
Haripur,431,Rural
Haripurtmp,1,Rural
Hatia,2,Rural
Hatibanda,1,Rural
Hatibandha,501,Rural
Hatikumrulsrj,1,Rural
Hatishaldnj,125,Rural
Higolgari,1,Rural
Hijolgari,1,Rural
Hili,685,Rural
Homna,165,Rural
Hossainpur,288,Rural
Imambarinbg,2,Rural
Inathganj,3385,Rural
Inathganj,1,Rural
Indurkani,1061,Rural
Islampur,207,Rural
Islampurbjyn,221,Rural
Jaflong,1146,Rural
Jagannathpur,611,Rural
Jagannathpursadar,4,Rural
Jahangirnagar,1199,Rural
Jamalganj,,Rural
Jamalpur.,2,Rural
Jessorechkpost,363,Rural
Jessorersadar,263,Rural
Jhalakathi,153,Rural
Jhalorchardwngnj,190,Rural
Jhenaidah,797,Rural
Jhenaidahunion,132,Rural
Jhenaigati,7,Rural
Jibonnagar,2474,Rural
Joldhaka,1286,Rural
Joydebpur,387,Rural
Joypurhat,3,Rural
Juldhakarnafuli,2,Rural
Juri,2609,Rural
Kachua,2376,Rural
Kadairbazar,2,Rural
Kadakatistk,2,Rural
Kafcoctg,23,Rural
Kahaloo,1166,Rural
Kalakachua,106,Rural
Kalia,333,Rural
Kaliakair,730,Rural
Kaliasakhipur,2,Rural
Kaligonj,515,Rural
Kalihati,1648,Rural
Kalisuribauphal,24,Rural
Kalmakanda,660,Rural
Kalukhali,2036,Rural
Kamalnagar,385,Rural
Kamargaonmymen,145,Rural
Kamarkhand,641,Rural
Kamarparamhnp,2,Rural
Kamolganj,2,Rural
Kapasia,482,Rural
Karatia,4,Rural
Karimgonj,97,Rural
Karnafuli,26,Rural
Karpashdanga,284,Rural
Kashinathpur,2,Rural
Katiadi,131,Rural
Kauniabrsl,419,Rural
Kawkhaliprj,878,Rural
Kawniarchar,3,Rural
Kazipur,512,Rural
Keshabpur,2264,Rural
Khagrachhari,341,Rural
Khansama,615,Rural
Khedaparajsr,845,Rural
Khoksa,,Rural
Khoksa_temp,3,Rural
Khulna,48,Rural
khushtiaremote106,1,Rural
Kishoreganj,1,Rural
Kochakatangsri,424,Rural
Kodaliamlht,2,Rural
Koilashgonjdkp,127,Rural
Komorpurgbg,2,Rural
Konabari,514,Rural
Kopilmoni,857,Rural
Kosba,785,Rural
Kotchadpur,1,Rural
Kotchandpur,1538,Rural
Kulaura,2,Rural
Kulaurasadar,963,Rural
Kuliarchar,4158,Rural
Kumarkhali,1668,Rural
Kumarkhali,1,Rural
Kumarkhalisadar,933,Rural
Kumirasitakunda,1,Rural
Kurigram,1741,Rural
Kushodangaklra,171,Rural
Kushtialahini,511,Rural
Kushtiamirpur,5575,Rural
Kushtiamongalbari,334,Rural
Kushtiamongolbari,1,Rural
Kushtiasadar,2043,Rural
Lakhai,1587,Rural
Lakshambazar,,Rural
Lakshimipur,712,Rural
Lalitnagar,253,Rural
Lalmai,571,Rural
Lalmohan,2371,Rural
Lalmonirhat,1015,Rural
Lalpur,8,Rural
Lama,490,Rural
Lamakazi,470,Rural
Linkrdcoxsbazar,1419,Rural
Lohagaractg,2884,Rural
Lohagaranrl,409,Rural
Louhajanj,3,Rural
Lukra,1223,Rural
Madan,413,Rural
Madarganj,1,Rural
Madhabdi,1,Rural
Madhabpur,1482,Rural
Madhabpursadar,378,Rural
Madhukhali,190,Rural
Madhukhalisadar,1470,Rural
Madhupur,271,Rural
Magura,791,Rural
Magurajhikargacha,241,Rural
Maheshpur,1157,Rural
Mainremote138,1,Rural
Manda,1434,Rural
Manikganj.,2,Rural
Manirampur,2,Rural
Markulibaniachong,502,Rural
Mastofapur,378,Rural
Matiranga,218,Rural
Mawnasreepur,843,Rural
Meherpur,2,Rural
Melandah,2,Rural
Mirsharai,2,Rural
Mirzapur,1174,Rural
Mitalybazardwng,308,Rural
Mohadevpur,3736,Rural
Mohammadpur,609,Rural
Mohanganj,2484,Rural
Moheshkhali,361,Rural
Mohonpur,135,Rural
Morrelganj,1446,Rural
Moukharantr,336,Rural
Moulvibazar,497,Rural
Moulvibazarsadar,519,Rural
Moynamoti,381,Rural
Mujibnagar,2,Rural
Muktagacha,689,Rural
Muladi,148,Rural
Munshibazar,2,Rural
Munshiganj,3,Rural
Munshiganjsadar,632,Rural
Muradnagar,1969,Rural
Mymemnsingh,1,Rural
Mymemnsingh,1,Rural
Mymensing,1,Rural
Mymensingh,740,Rural
N/A,1,Rural
NA,37,Rural
Nabiganj,586,Rural
Nabinagar,167,Rural
Nachol,1265,Rural
Nagarkanda,188,Rural
Nageshwari,1106,Rural
Naikolsreepur,196,Rural
Nalitabari,395,Rural
Nandangachi,421,Rural
Nangalkot,101,Rural
Naogaon,3337,Rural
Narail,658,Rural
Naria,1093,Rural
Narikelbariajsr,2,Rural
Narsingdi,452,Rural
Nasirnagar,3,Rural
Natore,6596,Rural
Nawabganj,2,Rural
Nawabganjdnj,283,Rural
Nazipur,5455,Rural
Nazirpur,1583,Rural
Nesarabad,915,Rural
Netrokona,703,Rural
Niamatpur,1544,Rural
Nikli,7,Rural
Nilganjksrg,668,Rural
Nilphamari,9032,Rural
Nisan_joldhaka,,Rural
Noakhalisadar,353,Rural
Noaparamdbp,376,Rural
Nokla,229,Rural
Nondigram,337,Rural
Nowhataraj,361,Rural
Noyankandidhb,93,Rural
Nurnagarshymngr,272,Rural
Oldbheramara,11,Rural
Oldshariakandi,9,Rural
Osmaninagar,935,Rural
Paba,662,Rural
PabnaSadar,473,Rural
Paboibazarjmlp,279,Rural
Padualohagara,,Rural
Paduarangunia,95,Rural
Paikgasa,686,Rural
Pakundia,350,Rural
Palash,272,Rural
Palashbari,303,Rural
Panchagarh,3561,Rural
Panchbibi,2,Rural
Panchbibisadar,452,Rural
Pangsha,394,Rural
Parbatipur,1,Rural
Parerhatprj,438,Rural
Partner,7,Rural
Paruliadebhata,233,Rural
Parulpirgacha,149,Rural
Patanishhaji,814,Rural
Patgram,2254,Rural
Patikabari,1,Rural
Patiya,5,Rural
Patiyasadar,1076,Rural
Patkelghatatala,460,Rural
Patuakhali,6,Rural
Phulbari,114,Rural
Phulbari,1,Rural
Phulpur,1,Rural
Pirgacha,2,Rural
Pirgachamdpr,56,Rural
Pirganj,2078,Rural
Pirobshibganj,181,Rural
Pirojpur,568,Rural
Pirojpursadar,882,Rural
Pollibiddutsavar,5,Rural
Ponabalia,263,Rural
Poradiabelabo,2,Rural
Porsha,1245,Rural
Pritimpasha,329,Rural
Purbadhala,429,Rural
Puthia,2,Rural
Quaishctg,296,Rural
Raigonj,839,Rural
raipur,1,Rural
Rajapur,983,Rural
Rajapurmdpur,429,Rural
Rajarhat,484,Rural
Rajnagar,370,Rural
Rajnagarsadar,90,Rural
Rajoir,1,Rural
Rajshahi Sadar,1,Rural
Rajshahisadar,6,Rural
Ramchandrapurhaji,8,Rural
Ramgati,217,Rural
Ramgonj,2564,Rural
Rampal,142,Rural
Rampurkendua,94,Rural
Ramu,844,Rural
Rangamati,283,Rural
Rangamatisadar,193,Rural
Rangpur,341,Rural
Raninagar,169,Rural
Ranirbandar,1135,Rural
Ranisankail,3522,Rural
Raozankodolpur,572,Rural
Rarulipaikgasa,76,Rural
Rosulpurnikli,395,Rural
Rowmari,920,Rural
Sadarpur,511,Rural
Sadipursyl,223,Rural
Sadullahpur,299,Rural
Sagardighightl,504,Rural
Saghata,88,Rural
Saidpur,,Rural
Sakhipur,228,Rural
Salanga,787,Rural
Salnagazipur,577,Rural
Saltha,439,Rural
Santhia,1,Rural
Santiganj,173,Rural
Sapahar,3796,Rural
Sapmara_Gabindaganj,2,Rural
Sapmaragbg,292,Rural
Sarail,1237,Rural
Sarajganj,1,Rural
Sarajgonj,2329,Rural
Sarishabari,838,Rural
Satkania,1,Rural
Satkhirasadar,1827,Rural
Satmilejsr,2,Rural
Saturia,2,Rural
Seedstorebhaluka,2,Rural
Senbug,377,Rural
Setabganj,1563,Rural
Shafipur,10,Rural
Shahidnagarpbn,2,Rural
Shahjadpur,365,Rural
Shahrasti,4698,Rural
Shaitgombhuj,2,Rural
Shajahanpur,1776,Rural
Shalikha,21,Rural
Shariakandi,1,Rural
Shariatpur,4,Rural
Shatibari,256,Rural
Shayestaganj,305,Rural
Sheikhpara,455,Rural
Sherpur_Mymen,1,Rural
Sherpurmymen,6,Rural
Sherpursadar,225,Rural
Shibaloy,7,Rural
Shibchar,1079,Rural
Shibganjbgr,832,Rural
Shibganjchp,265,Rural
Shibpashaajmg,318,Rural
Shibpur,249,Rural
Shibpurbbaria,215,Rural
Shimultali,1053,Rural
Shukurerhatmthp,128,Rural
Shyamkurjsr,138,Rural
Shyamnagar,175,Rural
Shyamnagarsadar,971,Rural
Shyastabadbrsl,427,Rural
Singra,3072,Rural
Sirajganj,1,Rural
Sirajganjsadar,2313,Rural
Sonabariaklra,466,Rural
Sonaimuri,3176,Rural
Sonatala,8,Rural
Southkattolictg,431,Rural
Southpatenga,350,Rural
Sreebordi,1199,Rural
Sreemangal,519,Rural
Sreepurmgr,327,Rural
Subarnachar,431,Rural
Sultanpur,501,Rural
Sunamganj,3,Rural
Syedpur,3718,Rural
Syedpurremote230,1,Rural
Sylhet,1222,Rural
Sylhet.,1,Rural
Tahirpursyl,330,Rural
Takerhatmdp,2,Rural
Tala,931,Rural
Tangail,774,Rural
Tanore,3691,Rural
Tarail,425,Rural
Tarakandamymen,132,Rural
Tarakandi,187,Rural
Tarash,1288,Rural
Tarashsadar,634,Rural
Tazumuddin,12,Rural
Teknaf,1796,Rural
Tempsunamganj,3,Rural
Terokhada,663,Rural
Tetulia,764,Rural
Thakurgaon,2950,Rural
tmpsarishabari,,Rural
Tokhkapasia,2,Rural
Tongieast,2,Rural
Tukerbazarsyl,2,Rural
Tungipara,274,Rural
Tushvandar,311,Rural
Ujanimuksudpur,2,Rural
Ulipur,881,Rural
Ullapara,1281,Rural
Umednagar,852,Rural
Wazirpur,2073,Rural
Wazirpursadar,294,Rural
Zajira,71,Rural
N/A,0,
Urban,16165,
Rural,373093,
